Molecule,Year,Resolution,Number of residues
Protein,1981-1990,≤2.0Å,"45,236"
RNA,1981-1990,≤2.0Å,0
DNA,1981-1990,≤2.0Å,238
Protein,1981-1990,>2.0Å ≤3.0Å,"76,639"
RNA,1981-1990,>2.0Å ≤3.0Å,468
DNA,1981-1990,>2.0Å ≤3.0Å,354
Protein,1981-1990,>3.0Å ≤5.0Å,"11,613"
RNA,1981-1990,>3.0Å ≤5.0Å,0
DNA,1981-1990,>3.0Å ≤5.0Å,0
Protein,1981-1990,>5.0Å,"1,309"
RNA,1981-1990,>5.0Å,0
DNA,1981-1990,>5.0Å,0
Protein,1991-2000,≤2.0Å,"1,609,401"
RNA,1991-2000,≤2.0Å,"1,270"
DNA,1991-2000,≤2.0Å,"5,430"
Protein,1991-2000,>2.0Å ≤3.0Å,"3,228,829"
RNA,1991-2000,>2.0Å ≤3.0Å,"10,450"
DNA,1991-2000,>2.0Å ≤3.0Å,"13,596"
Protein,1991-2000,>3.0Å ≤5.0Å,"346,374"
RNA,1991-2000,>3.0Å ≤5.0Å,"3,775"
DNA,1991-2000,>3.0Å ≤5.0Å,"1,598"
Protein,1991-2000,>5.0Å,"13,712"
RNA,1991-2000,>5.0Å,"5,058"
DNA,1991-2000,>5.0Å,64
Protein,2001-2010,≤2.0Å,"11,390,238"
RNA,2001-2010,≤2.0Å,"5,974"
DNA,2001-2010,≤2.0Å,"15,730"
Protein,2001-2010,>2.0Å ≤3.0Å,"18,447,402"
RNA,2001-2010,>2.0Å ≤3.0Å,"214,408"
DNA,2001-2010,>2.0Å ≤3.0Å,"49,192"
Protein,2001-2010,>3.0Å ≤5.0Å,"3,639,964"
RNA,2001-2010,>3.0Å ≤5.0Å,"185,808"
DNA,2001-2010,>3.0Å ≤5.0Å,"13,650"
Protein,2001-2010,>5.0Å,"845,337"
RNA,2001-2010,>5.0Å,"49,636"
DNA,2001-2010,>5.0Å,"1,083"
Protein,2011-2022,≤2.0Å,"28,513,777"
RNA,2011-2022,≤2.0Å,"26,921"
DNA,2011-2022,≤2.0Å,"38,107"
Protein,2011-2022,>2.0Å ≤3.0Å,"56,853,309"
RNA,2011-2022,>2.0Å ≤3.0Å,"2,221,448"
DNA,2011-2022,>2.0Å ≤3.0Å,"160,053"
Protein,2011-2022,>3.0Å ≤5.0Å,"57,353,261"
RNA,2011-2022,>3.0Å ≤5.0Å,"4,946,389"
DNA,2011-2022,>3.0Å ≤5.0Å,"199,158"
Protein,2011-2022,>5.0Å,"11,733,796"
RNA,2011-2022,>5.0Å,"816,494"
DNA,2011-2022,>5.0Å,"199,654"
