Version,Date,families,regions
1.0,08/02,25,54505
2.0,11/02,30,65072
3.0,01/03,36,70911
4.0,05/03,114,113613
4.1,06/03,165,114450
5.0,11/03,176,235101
6.0,05/04,350,280853
6.1,07/04,379,287512
7.0,03/05,503,362959
8.0,02/07,574,273989
8.1,10/07,607,277523
9.0,07/08,603,636138
9.1,12/08,1372,1148236
10.0,01/10,1446,3192596
10.1,06/11,1973,2756313
11.0,08/12,2208,6125803
12.0,09/14,2450,19623515
12.1,04/16,2473,19639727
12.2,01/17,2588,19652424
12.3,06/17,2687,19636279
13.0,09/17,2686,2487655
14.0,08/18,2791,2917933
14.1,01/19,3016,2917933
14.2,04/20,3024,2880683
14.3,09/20,3446,2897296
14.4,12/20,3941,2957780
14.5,03/21,3940,2954227
14.6,07/21,4070,3019486
14.7,12/21,4069,3016046
14.8,06/22,4094,3018612
14.9,11/22,4108,3046329
